TimeStamp,ECG Data,GSR Data,EMG Data
8120,512,547,567
8128,504,545,502
8136,506,545,459
8144,511,548,593
8153,502,544,438
8160,512,547,546
8168,505,545,509
8176,506,544,471
8184,513,548,566
8193,503,544,407
8200,514,547,535
8207,508,546,524
8216,509,545,449
8223,515,548,605
8232,505,544,468
8241,517,548,585
8248,509,546,515
8256,512,545,476
8264,521,548,562
8272,516,544,416
8281,525,548,549
8288,518,546,507
8296,526,545,450
8304,534,548,586
8311,518,544,452
8321,522,548,578
8327,508,546,545
8336,500,545,489
8344,504,548,587
8352,497,544,439
8360,508,549,586
8368,499,546,538
8376,502,546,462
8384,508,548,524
8392,498,545,402
8400,504,548,553
8409,479,545,480
8416,484,545,433
8424,554,549,577
8431,630,545,463
8440,725,549,608
8448,722,546,532
8456,602,546,507
8464,482,548,569
8472,435,545,425
8480,456,549,548
8488,465,546,429
8497,477,546,468
8504,483,549,589
8512,474,545,419
8520,490,549,566
8528,482,546,474
8537,489,546,484
8544,497,549,609
8551,489,545,435
8560,502,549,601
8567,496,546,514
8577,503,547,543
8584,509,549,559
8592,501,545,377
8600,516,549,564
8608,508,546,478
8616,516,547,475
8624,523,549,577
8632,518,545,440
8640,532,549,591
8648,528,546,489
8656,535,547,497
8665,541,549,612
8671,536,545,439
8680,547,549,569
8687,536,547,514
8696,537,547,490
8705,531,549,527
8712,516,546,419
8720,516,550,567
8728,496,547,489
8736,492,547,491
8744,487,549,593
8753,474,546,415
8760,483,550,546
8768,473,547,487
8776,478,547,498
8784,481,549,545
8792,475,546,408
8800,489,550,571
8807,483,547,481
8816,489,547,458
8824,492,549,543
8833,488,546,437
8840,500,550,578
8848,493,547,519
8856,499,548,492
8864,501,549,587
8872,495,546,437
8880,506,550,533
8888,498,547,463
8896,501,547,459
8904,504,549,563
8911,497,546,473
8921,508,551,579
8927,499,548,468
8936,503,548,499
8944,504,549,584
8952,498,547,433
8961,509,551,568
8968,500,547,473
8976,504,548,496
8984,507,550,594
8992,499,547,435
9000,510,551,562
9009,500,547,453
