TimeStamp,ECG Data,GSR Data
11059,489,533
11066,490,533
11073,490,533
11080,490,533
11086,492,533
11094,494,533
11100,495,533
11106,496,533
11113,498,533
11120,496,533
11126,484,533
11133,465,533
11140,467,533
11146,514,533
11153,612,533
11160,701,533
11166,757,533
11173,728,533
11181,570,533
11186,473,533
11193,417,533
11200,412,533
11206,438,533
11212,460,533
11220,469,533
11226,472,533
11233,475,533
11239,479,532
11246,482,532
11253,485,533
11260,488,532
11267,490,532
11273,494,532
11280,497,532
11286,499,533
11293,502,532
11300,505,533
11307,507,532
11313,508,532
11320,510,532
11326,512,533
11333,515,532
11340,516,533
11346,518,532
11354,522,533
11360,523,532
11366,524,532
11373,526,532
11380,527,532
11386,528,532
11393,526,532
11400,524,532
11406,521,532
11413,516,532
11419,511,532
11426,505,532
11433,500,532
11440,496,532
11446,493,532
11453,491,532
11460,491,532
11466,490,532
11473,490,532
11481,489,532
11486,491,532
11493,493,532
11500,494,532
11506,496,532
11513,499,532
11521,501,532
11526,502,532
11533,504,532
11540,504,532
11546,506,532
11553,506,532
11560,506,532
11567,506,532
11573,506,532
11580,507,532
11586,508,532
11593,510,532
11599,513,532
11607,515,532
11613,515,532
11620,516,532
11626,522,532
11633,531,532
11640,532,532
11646,525,532
11653,518,532
11660,509,532
11666,502,532
11673,496,532
11680,495,532
11686,496,532
11694,497,532
11700,494,532
11706,492,532
11713,492,532
11720,493,532
11726,499,532
11734,506,532
11740,504,532
11746,500,532
11753,491,532
11760,475,532
11766,462,532
11773,487,532
11781,580,532
11786,638,533
11793,727,533
11800,769,533
11805,700,533
11813,536,533
11821,429,533
11826,404,533
11833,417,533
11840,448,533
11846,464,533
11853,474,533
11860,477,533
11866,479,533
11873,482,534
11880,485,534
11886,488,534
11893,491,534
11900,495,534
11907,497,535
11913,500,535
11920,502,535
11926,504,535
11933,505,535
11940,506,536
11947,509,536
11953,512,536
11959,515,536
11966,518,536
11973,520,536
11980,522,536
11985,523,536
11994,527,536
12000,527,536
12006,528,536
12013,533,536
12020,529,536
12026,523,536
12034,520,536
12040,515,536
12046,510,536
12053,506,536
12060,501,536
12066,499,536
12073,496,536
12080,494,536
12086,494,536
12093,493,536
12100,491,536
12106,491,536
12113,493,536
12121,494,536
12126,497,536
12133,498,536
12140,499,536
12146,500,536
12153,502,536
12161,504,536
12166,505,536
12173,505,536
12180,507,536
12186,508,536
12192,507,536
12200,508,536
12207,510,536
12213,510,536
12219,507,536
12226,505,536
12233,505,536
12240,507,536
12247,512,536
12253,517,536
12260,519,536
12266,512,536
12273,513,536
12280,524,536
12286,530,536
12293,534,536
12300,531,536
12306,522,536
12313,510,537
12320,500,536
12326,495,536
12334,495,536
12340,494,537
12346,493,537
12353,493,536
12360,492,536
12366,494,537
12372,495,536
12380,496,536
12386,498,537
12393,500,536
12399,500,536
12406,497,536
12413,477,536
12421,460,536
12426,467,536
12433,537,536
12440,647,536
12446,736,536
12453,787,537
12461,697,537
12466,568,537
12473,445,537
12480,414,537
12486,429,536
12493,457,536
12500,466,536
12506,469,536
12513,473,536
12520,477,536
12526,479,536
12533,483,536
12540,486,536
12547,491,536
12553,492,536
12560,491,536
12566,492,536
12573,494,536
12579,498,536
12587,503,536
12593,506,536
12600,508,536
12606,513,536
12613,518,536
12620,518,536
12626,518,536
12634,521,536
12640,522,536
12646,522,536
12653,523,536
12660,527,536
12666,529,536
12674,528,536
12680,527,536
12686,525,536
12693,521,536
12700,516,536
12706,511,536
12713,505,536
12720,501,536
12726,498,536
12733,493,536
12740,490,536
12746,490,536
12753,489,536
12760,489,535
12766,490,536
12773,491,536
12780,493,535
12786,495,535
12793,497,535
12801,497,535
12806,500,535
12813,502,535
12820,502,535
12826,503,535
12833,504,535
12840,505,535
12847,506,535
12853,507,535
12860,507,535
12866,507,535
12873,505,535
12880,505,535
12887,506,535
12893,506,535
12900,506,535
12906,510,535
12913,514,535
12920,514,535
12926,513,535
12933,519,535
12939,526,535
12946,532,535
12953,532,535
12960,523,535
12966,515,535
12974,505,535
12980,498,535
12986,493,535
12993,490,535
13000,490,535
13006,491,535
13014,494,535
13020,494,535
13026,495,535
13033,495,535
13040,498,534
13046,498,535
13053,496,534
13061,496,534
13066,486,534
13073,466,534
13080,462,534
13086,501,534
13093,605,534
13101,696,534
13106,769,534
13113,767,534
13119,633,534
13126,494,534
13133,418,534
13140,418,534
13145,437,534
13153,460,534
13160,468,534
13166,473,534
13173,475,534
13180,478,534
13187,481,534
13193,485,534
13200,488,534
13206,490,534
13213,493,534
13220,497,534
13227,499,534
13233,500,534
13240,502,534
13246,506,534
13253,507,534
13260,509,534
13266,511,534
13274,514,534
13280,515,534
13286,516,534
13293,520,534
13300,524,534
13306,526,534
13314,527,534
13320,527,534
13325,528,534
13333,526,534
13340,523,534
13346,520,534
13353,517,534
13360,512,534
13366,505,534
13373,500,534
13380,499,534
13386,495,534
13393,489,534
13401,488,534
